Parcelle;Annee;AETCY;AGRRE;ALLSS;ALOMY;AMASS;ANGAR;APHAR;ARBTH;ARISE;ATHOR;ATXPA;AVEFA;BIDTR;BROSPP;CAGSE;CAPBP;CENCY;CHEAL;CHEHY;CHEPO;CHNMI;CIRAR;CIRVU;CONAR;COPSQ;DAUCA;ECHCG;EPHEX;EPHHE;EQUAR;EROCI;ERPVE;FESSPP;FUMOF;GALAP;GERCO;GERDI;GERMO;GERPU;GERRT;HOLMO;HYPPE;KICSP;LACSE;LAMAM;LAPCO;LEGSPP;LOLSS;LTHTU;MALSI;MATSPP;MEDSPP;MELAL;MENSU;MERAN;MYOAR;PAPRH;PAVSA;PICHI;PLALA;PLAMA;POAAN;POLAV;POLCO;POLLA;POLPE;RAPRA;RESLU;RUMCR;SCAPV;SENVU;SETPU;SETVI;SILVU;SINAR;SOLNI;SONAR;SONAS;STEME;TAROF;TOISPP;TRFPR;VERAR;VERHE;VERPE;VERPO;VICSA;VIOSS;VLLSS
11086;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11082;2008;0;0;0;0;75,5;0,50025;0;0;0;0;0;0;0;0;0;0;0;75,5;0;0;1,5;1,5;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;1,5;0;0;0;0;0,50025;0;0;0;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,50025;0
11082;2009;0;0;0;0;35,5;0,50025;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0,50025;0,50025;0;0,50025;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0
11082;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;1,5;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;1,5;0,50025;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0
11082;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0,50025;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0
11074;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11074;2009;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11074;2010;0,50025;0;0;0,50025;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11074;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0
11071;2008;0;0;0;0;0;0;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0,50025;0;0;0,50025;0
11071;2009;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0,50025;0,50025;0,50025;0;0,50025;0
11071;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0,50025;0
11071;2011;0;0;0;0;0;0;0,50025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,50025;0;0;0;0
